symbol,company,market_cap,industry,lodged,title,date_effective,tiers,window_model,ad_hoc_blackout_authority,dealing_covers_derivatives,dealing_covers_agreements_to_deal,dealing_covers_encumbrance,dealing_covers_stock_lending,dealing_covers_change_of_beneficial_ownership,securities_include_otc_derivatives,substance_over_form,secured_financing_scope,forced_sale_in_closed_period,unvested_as_collateral,financing_disclosure,minimum_shareholding_requirement,exemption_authority,external_documents,jurisdiction_overlays,funded_collar,summary
WHC,WHITEHAVEN COAL LIMITED,7113100602,Energy,2019-03-20,Securities Trading Policy,20 March 2019,Restricted Persons | Directors | key management personnel | Connected Persons,closed,"The Board may specify any other blackout period from time to time (s15(e)). Separately, the Company may notify Restricted Persons that they must not trade, either for a specified period or until further notice (s5(b)). The Policy does not say whether such notices are confidential, but a refusal or revocation of approval must be kept confidential (s22).",not_addressed,yes,not_addressed,not_addressed,yes,not_addressed,yes,margin_loan_only,excluded_dealing,not_addressed,"key management personnel; before entering into any margin lending arrangement in respect of Company securities; approval request to the CEO or their delegate (Chairman for Directors); prior to the arrangement (s32) | Restricted Persons; following any trade; to the Company Secretary; promptly, ideally by close of business on the day the trade is entered into (s29)",,"Sections 16 to 18: a Restricted Person who needs to trade during a blackout period because of exceptional circumstances (likely severe financial hardship or compulsion by court order) and who holds no Inside Information may apply for approval, which is granted only on sufficient evidence, in the approver's opinion, that the trade is a reasonable course of action. The approvers are those in section 20, and approval will not be granted where the trade would fail the front page test (s11).",Whitehaven Coal Equity Incentive Plan,,workable,"A funded collar is possible for a Whitehaven Director or KMP over vested shares, and this policy is unusually accommodating of the financing leg. The put and call are not named but are hedging arrangements under section 27, which section 28 permits over vested securities provided the Policy is complied with; the loan is regulated only as a 'margin lending arrangement' requiring KMP approval under section 32, and the Company may impose conditions including on when shares may be sold to satisfy a margin call. Critically, section 34(e) excludes a disposal resulting from a secured lender exercising its rights from the blackout, prior approval and short-term trading rules, so enforcement is not itself a breach. The practical constraints are that every trade, including collar entry, roll and unwind, needs prior written approval that is valid for only 7 days, may be conditioned or revoked at any time and may be refused on front page test grounds, and must fall outside four annual blackouts plus any Board-imposed period; each trade must then be notified to the Company Secretary the same day. Unvested securities, including entitlements the executive may become entitled to, cannot be hedged at all."
ARG,ARGO INVESTMENTS LIMITED,7072967904,Not Applic,2024-12-13,Securities Trading Policy,13 December 2024,Designated Persons | Non-executive Directors | employees | Closely Connected Persons,closed,"The Company may from time to time impose additional prohibited periods, for example when it is considering matters within the ASX Listing Rule 3.1A exceptions such as incomplete confidential negotiations, or when it has orders in the market for its own securities under an on-market buy-back or an employee incentive scheme. The Company Secretary advises Designated Persons when an additional prohibited period is imposed; the Policy does not state that the fact or reason is confidential. The Company Secretary will also notify Directors by email if the Company becomes unable to trade in another company's securities.",yes,yes,no,not_addressed,yes,not_addressed,not_addressed,any_secured_financing,excluded_dealing,not_addressed,"Designated Persons; on wishing to enter an arrangement where Argo securities are held as collateral for a loan facility; by email to the approval group comprising the Chairman, Chair of the Audit & Risk Committee, Managing Director and Company Secretary; before entering the arrangement (s6) | Designated Persons; where the Board assesses the collateral arrangement as material; publicly to the market, key terms disclosed by the Company; as required by ASX continuous disclosure (s6) | Designated Persons; after any approved trade, including an approved hedge; to the Company Secretary; immediately (s7, s8)",,"Section 8: the approval group of the Chairman, Chair of the Audit & Risk Committee, Managing Director and Company Secretary may clear a Designated Person who holds no Inside Information to sell (but not purchase) Argo securities in circumstances otherwise prohibited, on grounds of Severe Financial Difficulty or other exceptional circumstances, with particulars supplied; the Company may have to notify the existence of exceptional circumstances to the ASX. There is no exemption power over the ban on hedging unvested securities.",Argo executive incentive share scheme,,workable,"A funded collar is workable for an Argo Designated Person over vested shares and this is one of the more permissive policies for the financing leg. The put and call are trading in derivatives over securities and, as an arrangement limiting the economic risk of the holding, need the same approval as a direct trade: an email request to the Chairman, Managing Director and Company Secretary, any one of whom may approve, valid for five trading days unless withdrawn, executed outside the two annual results blackouts and any additional prohibited period, with immediate post-trade report to the Company Secretary. The loan secured on the collared shares is not prohibited and requires only email notification to a four-member group including the Chair of the Audit & Risk Committee, though the Board may treat it as material and disclose its key terms to the market. Enforcement is protected: a disposal by a secured lender under a loan agreement secured by Argo securities is excluded from the Policy entirely, so a margin call or default sale in a prohibited period is not a breach and needs no clearance. The only hard prohibition is hedging unvested Argo securities such as unvested performance rights, so the collared parcel must be limited to vested holdings."
VAU,VAULT MINERALS LIMITED,6983319791,Materials,2015-08-07,Corporate Governance Policies - Securities Trading Policy,,"directors, officers and employees | Restricted Persons | directors | key management personnel | associated parties",closed,"The Board has an absolute discretion to place an embargo on Restricted Persons and/or employees and/or their respective associated parties trading in Company securities at any time. The Policy does not say whether an embargo is confidential. Separately, the Chairman may impose conditions on any clearance, including time limits.",not_addressed,not_addressed,not_addressed,not_addressed,yes,not_addressed,not_addressed,not_addressed,excluded_dealing,not_addressed,directors; after any dealing in the Company's securities; to the Company Secretary; immediately and in any event within 5 business days | directors and senior executives; on entering arrangements for the hedging of vested options granted under the employee equity scheme; to the Chairman or Company Secretary; immediately,,"The Chairman or Managing Director, together with at least one other non-executive director, may give clearance for a Restricted Person to sell (but not purchase) securities during a closed period in exceptional circumstances such as severe financial hardship or a court order, provided the person holds no unpublished price sensitive information and the disposal is the only reasonable course of action available. Permission must be evidenced in prior written communication. No exemption power exists over the ban on hedging unvested plan securities.",The Company's employee equity scheme / employee share or option scheme,,workable,"A funded collar is workable for a Red 5 / Vault Minerals director or senior executive over vested holdings, and the financing leg is essentially unregulated by this policy. Hedging of vested options is expressly permitted subject only to immediate notification of the details to the Chairman or Company Secretary, while hedging or otherwise limiting exposure to risk in unvested shares, options or rights under the employee equity scheme is banned outright for all personnel with no waiver. There is no margin lending, encumbrance or secured financing provision at all, and a disposal resulting from a secured lender exercising its rights is expressly excluded from the Policy, so a loan secured on the collared shares can be entered and enforced without breaching it. The practical constraints are the pre-trade requirement for a Restricted Person to notify the Chairman and be advised there is no reason to preclude the trade (with any conditions the Chairman imposes, and no stated validity period), the two week quarterly and four week half and full year closed periods, the Board's absolute discretion to impose an embargo at any time, and the ban on Restricted Persons buying and selling the same securities within one to six months. Directors must also notify the Company Secretary of any dealing within 5 business days."
DNL,DYNO NOBEL LIMITED.,6778558350,Materials,2023-09-01,Securities Trading Policy,1 September 2023,Employees | Restricted Persons | Directors | Senior Executives | Nominated Employees | Connected Persons,open,"The Board may specify any other blackout period from time to time (s4.4). The Company may also notify Employees that they must not deal in securities, either for a specified period or until further notice (s4.1). The Policy does not state whether these notices are confidential, but a refusal or revocation of approval must be kept confidential (s6(c)).",not_addressed,yes,not_addressed,not_addressed,yes,not_addressed,yes,margin_loan_only,excluded_dealing,not_addressed,"Directors; following any trade in Company securities; to the Company Secretary; promptly, ideally by close of business on the day the trade is entered into (s5.5)",,"Section 4.5: an Employee who needs to deal during a blackout period because of exceptional circumstances, likely severe financial hardship or compulsion by court order, and who holds no Inside Information, may apply for approval through the section 6 process; approval is granted only on sufficient evidence, in the clearer's opinion, that the dealing is the most reasonable course of action available. Approval will never be granted where the dealing fails the Front Page Test (s4.2). There is no power to exempt anyone from the margin lending prohibition or the hedging prohibitions in section 5.4.","Employee, executive and director equity plans operated by the Company | Clearance to Trade Request Form (Schedule 1, included in the Policy)",,workable,"The derivative legs of a collar are achievable for a Restricted Person, but the funding leg is the obstacle. Hedging is defined as any arrangement limiting the economic risk of holding Company securities and is prohibited only over unvested plan securities and securities under a plan holding lock, so a put and call over vested, unrestricted shares is permitted subject to prior written approval on the Clearance to Trade Request Form (Chairman for Directors, Company Secretary for Senior Executives), execution within 5 business days, the 30 September and 31 March blackouts and the Front Page Test. However, section 5.2 flatly prohibits Restricted Persons from entering into margin lending arrangements in relation to the Company's securities, with no approval route, and the express substance over form principle means a bank facility secured on the collared shares with LVR or margin call mechanics is likely to be treated as such, so a funded structure would need to be demonstrably not a margin lending arrangement. Tenor is a further constraint: forward contracts are expressly given as an example of a prohibited short term dealing and buying and selling within 90 days is banned, so the collar should run well beyond 90 days. If a compliant facility could be structured, section 7(g) helpfully excludes a secured lender's enforcement sale from the blackout and approval rules."
ALX,ATLAS ARTERIA,6598860349,Transportation,2025-02-20,Securities Trading (Windows) Policy,February 2025,Staff | Directors | CEO and direct reports to the CEO | Associates,open,"The ATLAX and ATLIX Boards open windows at their discretion and may decline to open or may shut a window: 'If however, immediately prior to or during these windows Atlas Arteria is aware of price sensitive information regarding the entity (for example a pending significant investment), the window will not be opened or will be shut as the case may be.' The policy does not say whether the reason is disclosed; a refusal of pre-clearance is final and must be kept confidential by the person refused.",yes,not_addressed,not_addressed,not_addressed,yes,yes,not_addressed,any_secured_financing,not_addressed,not_addressed,,"Yes for directors: ATLAX and ATLIX directors must acquire and maintain a minimum holding of Atlas Arteria Securities equal to one year of the base non-executive director fee, with three years from the later of the policy date or their appointment to accumulate it. Staff 'minimum shareholding requirements' are also referenced in the short-term dealing carve-out. The policy does not say whether hedged or collared shares count towards the minimum.","Exceptional circumstances exemption. Any exemption must be approved in writing by the ATLAX Company Secretary and CEO; for the CEO and CEO direct reports also in writing by the ATLAX and ATLIX Chairs; for Directors by the ATLAX or ATLIX Chair; for the ATLAX or ATLIX Chairs by the Chair of the Audit and Risk Committee. Exemptions to sell outside a window additionally require a written no-inside-information undertaking plus unforeseeable severe hardship or legal compulsion, with sale the only practical method.","Securities Trading Request Form (pre-clearance request form submitted to the ATLAX Company Secretary) | Director disclosure deed executed by all ATLAX and ATLIX directors | Terms of issue / offer documents of the employee, executive and director incentive plans","Bermuda: Atlas Arteria International Limited is a Bermuda company (stapled structure), and the policy is adopted by both the ATLAX and ATLIX Boards | US ownership restriction: Atlas Arteria securities cannot be held by or for the account or benefit of any U.S. person that is not a qualified purchaser under the U.S. Investment Company Act (from the covering ASX release, not the policy itself)",blocked,"A funded collar is blocked for directors, the CEO and the CEO's direct reports, because they must not enter into margin loans or other secured financing arrangements over their Atlas Arteria Securities, and the only relief is a written exceptional-circumstances exemption drafted around forced sales and unforeseeable hardship. For Staff below that level the secured loan leg is not restricted, and a collar over vested unrestricted shares is possible in principle: the hedging ban reaches only unvested or restricted securities, and the derivative legs are simply trading in derivatives of Atlas Arteria. Any such structure must be entered inside a Board-opened four week window following results, the AGM or a capital raising, with prior written pre-clearance from the ATLAX Company Secretary (Chair as well for a sale by the senior group) and execution within three trading days, and the clearance can be withdrawn at any time before dealing. The tenor must be at least six months, because short term or speculative trading in derivatives or other financial products over ALX securities is expressly banned. Every later step, including roll, unwind and physical settlement, is a fresh trade needing its own window and pre-clearance, and there is no safe harbour for a lender's sale outside a window."
SDF,STEADFAST GROUP LIMITED,6494031108,Insurance,2025-08-06,Securities Trading Policy,August 2025,"Designated Persons | Directors and alternate directors of Steadfast (other than the Chair) | Chair | key management personnel | all directors, employees and contractors of Steadfast | Associates",open,"The Board may vary, suspend or terminate trading window arrangements at any time, conditionally or unconditionally. Designated Persons are notified of windows by email and must not assume a window is open in the absence of notification. Separately, any refusal of clearance by a Notification Officer must be kept confidential and no reasons need be given.",yes,yes,no,no,yes,no,not_addressed,any_financing_in_respect_of_securities,excluded_dealing,not_addressed,,,"Two routes. (1) Part 4: a Notification Officer may give prior confirmation for a Designated Person or Associate to deal outside a trading window, or to dispose of Steadfast's Securities even if otherwise prohibited under part 6, in exceptional circumstances (severe financial hardship, court order or legal or regulatory requirement, or other exceptional circumstances determined by the Chair or, where the Chair is involved, the Chair of the Audit & Risk Committee); prior notification, clearance and post-trade notification still apply. This route covers only disposals, not entry into a hedge or a secured financing. (2) Part 8: 'The Board may, in its discretion, adjust or exclude a specific requirement of this policy from time to time, either generally or on a case by case basis.'",The list of Designated Persons maintained by the Company Secretary | Steadfast employee incentive scheme rules (referenced for option and right exercises and holding locks),"For those parts of Steadfast impacted by laws, regulatory requirements or contractual obligations that conflict with the policy, the more stringent standard applies",blocked,"A funded collar is not available to any Steadfast director, KMP or other Designated Person: part 6.1 bans margin lending and any other secured financing arrangement in relation to Steadfast's Securities for them and their Associates, and part 6.2 separately bans stock lending, so both the loan leg and any borrow-based hedge are prohibited. The exceptional circumstances relief in part 4 only permits a disposal notwithstanding part 6, not entry into a financing or a hedge, so the only route would be the Board exercising its power under part 8 to adjust or exclude a requirement of the policy case by case. The unfunded collar legs are more workable: the hedging ban reaches only remuneration that is unvested or vested but under a holding lock, so vested unrestricted shares can be hedged, subject to an open 30 day window, prior written notice and clearance from the Notification Officer (Chair for directors, MD & CEO with the Company Secretary for others) valid for 5 business days, and written post-trade confirmation within 3 business days. Any structure must run longer than three months because short term trading expressly extends to financial products associated with Steadfast's Securities. Employees and contractors who are not directors, KMP or MD & CEO designees fall outside parts 3 to 6 entirely and are constrained only by the insider trading laws."
CGF,CHALLENGER LIMITED,6475056569,Financial Services,2018-12-10,Challenger Staff Trading Policy (Version 10),November 2018,staff | Key Management Personnel | Designated Staff | Non-Executive Directors | closely connected persons and entities,open,"Challenger imposes 'additional periods' from time to time when it is considering matters which may include price sensitive information and/or matters subject to ASX Listing Rule 3.1A; the Company Secretary manages the commencement and end dates and staff communications. The Boards of entities issuing the relevant Challenger Securities may vary the timing of closed periods at any time, and the Board and CEO may require temporary changes to the procedures. Refusal of an approval to trade is final and binding and must be kept confidential.",yes,yes,no,no,not_addressed,yes,yes,margin_loan_only,excluded_dealing,not_addressed,,,"Part 9 (Exceptional Circumstances): a staff member not in possession of inside information who wishes to trade in Challenger Securities or Third Party Securities in a way that would otherwise breach the Policy (including trading during a Prohibited Period) needs specific prior written approval. The written request goes to the General Counsel and Company Secretary or the General Manager, Risk and Compliance, with supporting evidence, and is decided by the Committee, which may impose conditions in its absolute discretion including execution and settlement time limits and post-trade reporting. Separately, the Challenger Board may approve margin lending over Challenger Securities (7.5), and the Board and CEO may require temporary changes to the procedures (1).",Information Barriers Policy | Continuous Disclosure Policy and Practice Note | Unlisted Product and Exchange Traded Product Disclosure Policy | Inside Information Policy and Practice Note | Investor Relations Practice Note | Relevant divisional specific policies | Designated Person Form - Acknowledgement and Undertaking (Challenger Intranet) | 'Request to trade securities' online form (Challenger intranet) | Challenger restricted Securities list maintained by the Company Secretary | Whistleblower Provisions,"Entities and Divisions operating outside Australia must consider local rules; where local rules are more stringent they always prevail, and any direct conflict must be notified to the Policy Owner before local policies are implemented",workable,"Challenger is unusually accommodating and a funded collar over vested shares is genuinely possible, but only with two separate consents. Section 7.6.2 expressly permits derivatives and hedging over vested Challenger Securities, including to protect the value of an asset supporting a loan, and otherwise on a case by case basis with approval from the Committee (Chair, CEO and General Counsel and Company Secretary for directors; CEO and General Counsel and Company Secretary for other staff), while section 7.5 prohibits margin lending over Challenger Securities 'other than as approved by the Challenger Board', so the loan leg requires Board approval. The structure must satisfy the two mandatory criteria that no Challenger Group entity is a counterparty and that the hedge does not mature within a closed prohibited period, must not create a net short position, must be entered outside the 30 June and 31 December closed periods and any additional period, and must go through pre-trade approval with the trade placed within one business day and completed within seven days. Nothing may be hedged while unvested, though securities count as vested once Challenger's own hurdles are met even if the executive has elected a longer restriction. The three month short term gain rule and the anti-avoidance principle that staff must not do indirectly what they cannot do directly mean the tenor must exceed three months and a loan structured to avoid the margin lending label would still be treated as caught."
IGO,IGO LIMITED,6467067123,Materials,2019-06-28,Group Governance Standard 7 - Dealing in Securities,24 June 2019,Personnel | Restricted Persons | directors and senior management | Directors | Associates,closed,"The Board may impose any other period as an Additional Period. Additional Periods are confidential: 'Restricted Persons must not disclose to anyone that an Additional Period is in effect.' Separately, IGO may give notice to any or all Personnel that they must not deal, either for a specified period or until further notice.",yes,not_addressed,not_addressed,not_addressed,yes,not_addressed,not_addressed,any_financing_in_respect_of_securities,excluded_dealing,not_addressed,"directors and senior management; inception (before entering into any agreement giving a lender rights over their IGO securities, and as the condition of the lender-enforcement exception); prior approval / prior written clearance in accordance with the Standard (Appendix 1 authorisation levels: Chair of the Board for a director, Managing Director or Chair for an employee, Chair of the Audit Committee for the Chair); before entering the financing arrangement | Directors; each dealing in IGO securities by themselves or an Associate; Company Secretary; within two business days",,"Blackout period dealing: 'The Board, in its absolute discretion and, if necessary, subject to it receiving prior written legal opinion that insider trading is unlikely, may approve the dealing of IGO securities during a blackout period' in exceptional circumstances such as severe financial hardship or compliance with a court order, for a Restricted Person not in possession of inside information. Short term dealing, forward contracts and short selling: relieved only in circumstances of special hardship with the Chair's prior written approval (email suffices). Financing arrangements giving lenders rights over IGO securities: prior approval for directors and senior management. No exemption authority is stated for the hedging ban over unvested or holding-locked entitlements.","Code of Conduct | List of Restricted Persons maintained by the Company Secretary | Employee, executive and director equity plan rules (for holding locks and deal restrictions)",,blocked,"IGO is one of the more workable policies for a funded collar. There is no ban on margin lending or secured financing: directors and senior management simply need prior approval before entering an agreement that gives a lender rights over their IGO securities, and a disposal by a secured lender exercising those rights is an excluded dealing provided the original financing arrangement received prior written clearance, which gives the bank a clean enforcement path even during a blackout. The two real limits on the loan leg are the size cap, since no Personnel may enter a funding arrangement where the funding security would affect 3% or more of IGO's listed shares, and the Front Page Test, under which approval will not be granted for anything that looks like an executive taking advantage of position. On the derivative legs, the collar may only cover vested entitlements free of any plan holding lock, must not be a forward contract or create a short sale (both banned at any time absent special hardship approved by the Chair), must have a tenor beyond the three month short term dealing rule, and for a Restricted Person needs prior written clearance on the Appendix 1 form, valid five business days, outside the September and March quarter, half year and full year blackouts and any confidential Additional Period. Directors must also notify the Company Secretary of each dealing within two business days."
RRL,REGIS RESOURCES LIMITED,6388223385,Materials,2010-12-23,Securities Trading Policy,31 December 2010,all directors and employees of Regis Resources and its subsidiaries | Restricted Persons | Directors | Key Management Personnel | Associates,closed,"The Company may at its discretion notify all directors and employees that a restricted trading period is in effect and they must refrain from trading during that period. The policy does not say whether the reason is disclosed or whether the existence of the period is confidential. Key Management Personnel are identified by the Managing Director as necessary and notified in writing by the Company Secretary as being affected by the closed period. Restricted Persons are also separately barred whenever they know results are likely to differ materially from guidance, a confidential incomplete price sensitive proposal exempt under Listing Rule 3.1A is on foot, or there is information about definition drilling, resource or reserve upgrades, new discoveries or the award of a major contract.",not_addressed,yes,not_addressed,not_addressed,not_addressed,not_addressed,not_addressed,any_financing_in_respect_of_securities,not_addressed,not_addressed,,,"The Chairman may waive the closed period restrictions in 4.3 and the discretionary restricted trading periods in 4.4 in specific circumstances such as severe financial hardship or other exceptional circumstances (including a transfer of shares required by family court order or other legal requirement), conditional on the Restricted Person demonstrating they hold no price sensitive information and satisfying the Chairman that the proposed sale or disposal is the only reasonable course of action available. A Trading Exemption Request form goes to the Company Secretary and clearance is given in writing including by email. There is no authority to waive the short-term trading ban in 4.5 or the funding arrangements cap in 4.12.",Trading Notification form | Trading Exemption Request form | Company's Employee Share Option Plan,,blocked,"On its face a funded collar is available to Regis directors and executives, because this 2010 policy is silent on hedging, derivatives, short selling and stock lending, and its only financing control is a size cap: directors and Key Management Personnel must not enter funding arrangements relating to their interests in Company shares or options where the funding security would affect 3% or more of the Company's listed shares. The derivative legs are not expressly regulated at all, and the closed periods (14 days before half year, full year and disclosure document announcements, 7 days before quarterlies, plus discretionary restricted trading periods and open-ended bars tied to drilling, resource upgrades or major contracts) are drafted as a bar on buying or selling Company securities, so entry into an OTC option is arguably outside them while physical settlement or a collateral transfer clearly is not. The practical obstacles are the absence of any pre-clearance mechanism through which the company could bless the structure, the undefined 'should never engage in short-term trading' ban, and the two day Trading Notification and five business day ASX disclosure obligations for directors and KMP on any purchase or sale. Because the policy is silent rather than permissive, the bank should not treat the silences as consent: any hedging restriction is more likely to sit in the Employee Share Option Plan and remuneration documents, which are outside this policy. Given the policy dates from December 2010 with no stated review cycle, its currency should be confirmed before relying on it."
DXS,DEXUS,6305800468,Equity Real Estate Investment Trusts (REITs),2021-10-08,Securities Trading (including Inside Information),,Employees | Chairman | Independent Director | Chief Executive Officer | Executive General Manager (including KMP) | Employee | Associates,open,"The CEO may cancel any trading window at any time, effective immediately on notification, and notification is communicated to all Employees (so cancellation itself is not confidential). The CEO in consultation with the Chair may also identify additional trading windows, and may in exceptional circumstances restrict trading by Listed Securities Funds. Restrictions on trading in other financial products may also be imposed and notified to relevant Employees. Separately, the reasons for refusing an individual approval may be withheld and the Employee must keep the refusal confidential.",not_addressed,yes,not_addressed,not_addressed,yes,not_addressed,not_addressed,margin_loan_only,not_addressed,not_addressed,,,"Section 9: the CEO and/or Company Secretary, on referral through the Head of Governance, may permit trading outside the trading windows in situations of severe financial hardship, on evidence that the dealing is the most reasonable course of action; the trade must be executed within 5 business days of written notification. The exemption relieves only the trading-window restriction and is framed around an 'order to sell'; it does not authorise margin lending or hedging of un-vested securities.",Business Approval Table delegations approved by the General Counsel | Dexus Compliance tracking system (request-to-trade workflow),,workable,"A funded collar is at best doubtful for a Dexus director or executive and is likely blocked on the funding leg. The derivative legs over vested securities are not expressly regulated - the Policy names no derivatives, short selling, CFDs, stock lending or encumbrance, and the hedging prohibition is confined to un-vested securities - but any trade in Dexus securities must be pre-approved under the Business Approval Table, executed within 5 business days, and confined to the two open windows (28 days after half and full year results, 14 days after the AGM), with approval refusable without reasons under the Media Test and withdrawable up to execution. The loan leg is the problem: section 7 prohibits 'trading in Dexus securities as part of margin lending activities' for every Director, Employee and Associate, with no approval, hardship or exemption route, and a bank loan secured on the collared securities with enforcement rights is squarely within the mischief that limb addresses. Nothing in the Policy addresses forced sales by a secured lender, disclosure of financing arrangements, or a minimum shareholding, so the practical position is that Dexus consent would have to be sought in writing on the specific structure. Tenor should also exceed 30 days to avoid the short-term gain prohibition, and the collar must not extend to any un-vested plan securities."
AZJ,AURIZON HOLDINGS LIMITED,6211403874,Transportation,2018-04-18,Securities Dealing Policy,18 April 2018,Directors | Chairman of the Board | Executives | Employees,closed,"The Board may designate any other period as a black-out period; it is advised to Employees by Company-wide email and posted to the Company intranet, so ad hoc black-outs are notified rather than confidential. Separately, the Company may notify in writing that certain other companies' securities cannot be traded for a specified period.",not_addressed,yes,not_addressed,not_addressed,not_addressed,not_addressed,not_addressed,margin_loan_only,not_addressed,not_addressed,,,Section 4.2: the Company Secretary may approve disposals (but not acquisitions) of Company securities during a black-out period where the applicant has no price sensitive information and there are exceptional circumstances such as severe financial difficulties or passive trades; approvals are valid for three business days. Section 4.4: the MD & CEO or Company Secretary may give written permission for a sale of shares acquired on exercise of performance rights during a black-out period. There is no authority to waive the margin lending prohibition or the ban on hedging unexercised performance rights.,Aurizon Disclosure and Communications Policy | Group Performance Rights Plan rules,,workable,"Aurizon is one of the more permissive ASX policies for the derivative legs of a collar: section 5.2 expressly permits Directors and Executives to hedge their shareholdings, and the hedging definition reaches any transaction, arrangement or financial product limiting the economic risk of a Company holding, including OTC instruments such as equity swaps and CFDs. The conditions are section 5.1 advance written notice and written clearance acknowledgement (Chairman or Company Secretary for Directors, the Audit Governance and Risk Management Committee Chairman for the Chairman, the MD & CEO or Company Secretary for Executives), dealing within 5 business days of clearance, outside the 1 January and 1 July black-out periods and any Board-designated black-out, and no price sensitive information at entry, renewal, alteration or close-out. The collar cannot cover unexercised performance rights or shares still subject to a transfer restriction, and its tenor should exceed three months given the short-term dealing ban that expressly names forward contracts. The funding leg is the pinch point: section 5.3 prohibits Directors and Executives entering any margin lending arrangement in relation to Company Securities, but there is no general secured financing, encumbrance or pledge prohibition and no definition of margin lending, so a fixed-term loan secured on the collared shares without margin calls or collateral maintenance is arguably outside the ban and should be confirmed in writing with the Company Secretary before documentation. The Policy is silent on forced sales, financing disclosure and any minimum shareholding, so those risks must be managed contractually rather than by reference to the Policy."
WGX,WESTGOLD RESOURCES LIMITED.,6098833261,Materials,2026-07-31,Securities Trading Policy,31 July 2026,"Designated Persons | Chair of the Board | Managing Director or any Executive Director | Non-Executive Director (excluding the Chair) | Key management personnel, 'C-suite' Executives, General Managers or Company Secretary | Westgold Group Managers or any other Designated Person | any other employee or contractor of the Westgold Group | Deemed Designated Persons (spouse, children under 18, family trusts and family-controlled companies)",closed,"The Board may impose additional restrictions on Dealing without notice and in its sole and absolute discretion on any or all Designated Persons and on other Westgold personnel, including where the trade would otherwise be outside a Blackout Period. Such restrictions must be kept strictly confidential as the restriction itself may be Inside Information. The Board may also specify any other period as a Blackout Period under section 5.1.",yes,yes,no,not_addressed,yes,yes,yes,any_secured_financing,excluded_dealing,prohibited,"Designated Persons; inception of any grant of security or margin lending arrangement over Company Securities; relevant Authorising Officer on Form FM201 with copy to the Company Secretary; before entering into it | Designated Persons; after any exempt dealing including a secured lender's enforcement sale; relevant Authorising Officer; deadline not stated | Designated Persons; beginning or ceasing to have a substantial holding, or a movement of at least 1% in a substantial holding; Authorising Officer; deadline not stated | Directors; any change in relevant interest, including whether it occurred inside a Blackout Period and whether prior written authorisation was given; Company Secretary in writing, then ASX; immediately and no later than three days after the event, with ASX notification within five business days | Reporting insiders under Canadian Law; entering into, materially amending or terminating any agreement, arrangement or understanding altering economic exposure to the Company or involving a related financial instrument; SEDI filing; within five days",,"Section 5.4: the relevant Authorising Officer has discretion to approve Dealings during a Blackout Period 'or other Dealings that would otherwise be prohibited by this Policy', on execution of Form FM201 with copy to the Company Secretary. Exceptional circumstances are assessed case by case in the Authorising Officer's absolute discretion and may include severe financial hardship or compliance with a court order or court enforceable undertaking. The decision may be made without reasons, is final and binding, may be withdrawn if circumstances change, and must be kept strictly confidential.",Westgold 'Security Trading Request Form' (FM201) | Westgold option and performance rights plan rules | Latest Annual Report of the Company (identifies key management personnel),"Canadian securities laws and the Criminal Code (Canada), as a TSX-listed issuer | SEDAR+ filing of results, which conditions the end of each Blackout Period | SEDI insider reporting for 'reporting insiders': initial report within 10 days, and reports within 5 days of a change in beneficial ownership or in an interest, right or obligation associated with a related financial instrument, or on entering into, materially amending or terminating an arrangement altering economic exposure to the Company",blocked,"Westgold is one of the few ASX policies under which a funded collar is affirmatively available, but only over fully vested Company Securities that are not subject to a holding lock, and only with prior written consent. Section 6.2 treats the put and call legs as a 'protection arrangement', prohibited absolutely over unvested or holding-locked securities and otherwise permitted with consent under section 5.3; section 6.3 does the same for the loan leg, prohibiting any charge, mortgage or pledge over Company Securities to secure any obligation except with prior written consent, so the bank's security is contemplated rather than banned. Consent is given by the relevant Authorising Officer on Form FM201, is valid five business days, may be withdrawn on reputational grounds and may be refused in absolute discretion without reasons; Dealings are otherwise barred in four Blackout Periods a year and during confidential Board-imposed ad-hoc restrictions, subject to the section 5.4 exceptional circumstances discretion which can approve 'other Dealings that would otherwise be prohibited'. Critically, section 8.0 expressly exempts a disposal resulting from a secured lender exercising rights under a loan or security agreement, so enforcement of the bank's collateral does not itself breach the Policy. Two cautions: the first paragraph of section 6.3 contains an unqualified margin lending prohibition that sits awkwardly with the consent route, so the facility should be documented as a secured term loan and the Company's position confirmed in writing; and as a TSX-listed issuer, entering into, materially amending or terminating the collar triggers SEDI insider reports within five days for reporting insiders."
