symbol,name,market_cap,industry,status,source,policy_date,headline,document_key,pdf,text_chars
PNI,PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED,3652953736,Financial Services,ok,asx,2025-12-04,Updated Personal Trading Policy,2924-03033363-2A1641168,/Users/gazmart/code/asx-trading-policies/data/pdf/PNI.pdf,21372
NWH,NRW HOLDINGS LIMITED,3593031533,Capital Goods,ok,asx,2010-12-22,NRW Revised Securities Trading Policy,2995-01135823-6A521932,/Users/gazmart/code/asx-trading-policies/data/pdf/NWH.pdf,15171
EBO,EBOS GROUP LIMITED,3554271987,Health Care Equipment & Services,ok,asx,2025-11-27,Updated Securities Trading Policy,2924-03029277-2A1639006,/Users/gazmart/code/asx-trading-policies/data/pdf/EBO.pdf,34216
FBU,FLETCHER BUILDING LIMITED,3506331360,Capital Goods,ok,asx,2015-02-23,FBL advises it has amended its Securities Trading Policy,2995-01601823-2A844209,/Users/gazmart/code/asx-trading-policies/data/pdf/FBU.pdf,19374
SPK,SPARK NEW ZEALAND LIMITED,3383332893,Telecommunication Services,ok,asx,2015-03-30,Spark NZ amends Insider Trading Policy,2995-01612639-2A850714,/Users/gazmart/code/asx-trading-policies/data/pdf/SPK.pdf,27122
NHF,NIB HOLDINGS LIMITED,3373498258,Insurance,ok,asx,2023-08-01,Revised Trading Policy,2924-02693302-2A1464176,/Users/gazmart/code/asx-trading-policies/data/pdf/NHF.pdf,32118
L1G,L1 GROUP LIMITED,3336516929,Financial Services,ok,asx,2026-03-01,Updated Securities Trading Policy,2924-03063322-2A1657173,/Users/gazmart/code/asx-trading-policies/data/pdf/L1G.pdf,12443
MTS,METCASH LIMITED,3299178471,Consumer Staples Distribution & Retail,ok,asx,2023-03-01,Securities Trading Policy Update,2924-02638600-2A1434469,/Users/gazmart/code/asx-trading-policies/data/pdf/MTS.pdf,15890
ZIP,ZIP CO LIMITED..,3264315121,Financial Services,ok,asx,2023-12-05,Updated Securities Trading Policy,2924-02750163-2A1492527,/Users/gazmart/code/asx-trading-policies/data/pdf/ZIP.pdf,21275
SX2,SOUTHERN CROSS GOLD CONSOLIDATED LTD.,3235842744,Materials,ok,asx,2025-01-15,Securities Trading Policy,2924-02903377-3A659778,/Users/gazmart/code/asx-trading-policies/data/pdf/SX2.pdf,19879
MFF,MFF CAPITAL INVESTMENTS LIMITED,3232284147,Not Applic,ok,asx,2023-07-09,MFF Trading Policy,2924-02684990-2A1460269,/Users/gazmart/code/asx-trading-policies/data/pdf/MFF.pdf,13124
RWC,RELIANCE WORLDWIDE CORPORATION LIMITED,3141762956,Capital Goods,ok,asx,2023-04-12,Securities Dealing Policy (revised),2924-02653753-3A616419,/Users/gazmart/code/asx-trading-policies/data/pdf/RWC.pdf,17117
CNU,CHORUS LIMITED,3141344009,Telecommunication Services,ok,asx,2012-06-11,Updated Chorus Insider Trading Policy,2995-01304509-2A681922,/Users/gazmart/code/asx-trading-policies/data/pdf/CNU.pdf,21785
LSF,L1 LONG SHORT FUND LIMITED,3122573546,Not Applic,ok,asx,2020-08-26,Share Trading Policy - Corporate Governance Charter,2924-02272611-3A548354,/Users/gazmart/code/asx-trading-policies/data/pdf/LSF.pdf,93074
RSG,RESOLUTE MINING LIMITED,3099255539,Materials,ok,asx,2021-03-31,Securities Trading Policy,2924-02359644-6A1026941,/Users/gazmart/code/asx-trading-policies/data/pdf/RSG.pdf,57139
MSB,MESOBLAST LIMITED,3039070577,"Pharmaceuticals, Biotechnology & Life Sciences",ok,asx,2013-09-02,Share Trading Policy,2995-01440272-3A394152,/Users/gazmart/code/asx-trading-policies/data/pdf/MSB.pdf,11053
OBM,ORA BANDA MINING LTD,2997701928,Materials,ok,asx,2026-06-29,Revised Securities Trading Policy,2924-03104939-6A1331384,/Users/gazmart/code/asx-trading-policies/data/pdf/OBM.pdf,17943
ILU,ILUKA RESOURCES LIMITED,2996805243,Materials,ok,asx,2025-08-19,Revised Securities Trading Policy,2924-02980460-6A1279054,/Users/gazmart/code/asx-trading-policies/data/pdf/ILU.pdf,22829
SUL,SUPER RETAIL GROUP LIMITED,2969618475,Consumer Discretionary Distribution & Retail,ok,asx,2023-05-18,Revised Securities Trading Policy,2924-02667449-2A1450104,/Users/gazmart/code/asx-trading-policies/data/pdf/SUL.pdf,15909
MND,MONADELPHOUS GROUP LIMITED,2893040888,Capital Goods,ok,asx,2015-08-17,Amended Share Trading Policy,2995-01651095-6A730249,/Users/gazmart/code/asx-trading-policies/data/pdf/MND.pdf,16427
GNE,GENESIS ENERGY LIMITED,2879509653,Utilities,ok,asx,2015-03-26,GNE's amended Trading in Company Securities Policy,2995-01611669-2A850051,/Users/gazmart/code/asx-trading-policies/data/pdf/GNE.pdf,459
BWP,BWP GROUP,2866880492,Equity Real Estate Investment Trusts (REITs),ok,asx,2025-07-29,Securities Trading Policy,2924-02972112-6A1275343,/Users/gazmart/code/asx-trading-policies/data/pdf/BWP.pdf,29450
SRL,SUNRISE ENERGY METALS LIMITED,2830206431,Materials,ok,asx,2018-02-26,Updated Share Trading Policy,2995-01955276-3A488676,/Users/gazmart/code/asx-trading-policies/data/pdf/SRL.pdf,13652
GYG,GUZMAN Y GOMEZ LIMITED,2824396591,Consumer Services,ok,asx,2024-07-02,Securities Trading Policy,2924-02823781-2A1533226,/Users/gazmart/code/asx-trading-policies/data/pdf/GYG.pdf,17191
LOV,LOVISA HOLDINGS LIMITED,2780643584,Consumer Discretionary Distribution & Retail,ok,asx,2014-12-17,Securities Trading Policy,2995-01586009-3A416937,/Users/gazmart/code/asx-trading-policies/data/pdf/LOV.pdf,26073
TEA,TASMEA LIMITED,2691389251,Capital Goods,ok,asx,2025-08-26,Update to Securities Trading Policy,2924-02984373-6A1280322,/Users/gazmart/code/asx-trading-policies/data/pdf/TEA.pdf,22882
ALK,ALKANE RESOURCES LIMITED,2650437353,Materials,ok,asx,2020-07-07,Securities Trading Policy,2924-02252749-6A985555,/Users/gazmart/code/asx-trading-policies/data/pdf/ALK.pdf,29039
SMR,STANMORE RESOURCES LIMITED,2632063571,Materials,ok,asx,2022-12-16,Stanmore Corporate Governance Policies,2924-02613504-2A1420828,/Users/gazmart/code/asx-trading-policies/data/pdf/SMR.pdf,21627
DDR,DICKER DATA LIMITED,2602104696,Technology Hardware & Equipment,ok,asx,2023-09-11,Security Trading Policy,2924-02710068-2A1473161,/Users/gazmart/code/asx-trading-policies/data/pdf/DDR.pdf,25004
RGN,REGION GROUP,2585672406,Equity Real Estate Investment Trusts (REITs),ok,asx,2012-11-25,Securities Trading Policy,2995-01359867-2A708516,/Users/gazmart/code/asx-trading-policies/data/pdf/RGN.pdf,27472
AUI,AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,2551147144,Not Applic,ok,asx,2025-11-20,Securities Trading Policy,2924-03026277-3A681974,/Users/gazmart/code/asx-trading-policies/data/pdf/AUI.pdf,5256
MFG,MAGELLAN FINANCIAL GROUP LIMITED,2545688704,Financial Services,ok,asx,2022-06-15,MFG Trading Policy,2924-02532022-2A1379400,/Users/gazmart/code/asx-trading-policies/data/pdf/MFG.pdf,13808
DBI,DALRYMPLE BAY INFRASTRUCTURE LIMITED,2543257352,Transportation,ok,asx,2024-12-01,Revised Securities Dealing Policy,2924-02888909-2A1565597,/Users/gazmart/code/asx-trading-policies/data/pdf/DBI.pdf,17014
NEU,NEUREN PHARMACEUTICALS LIMITED,2521534383,"Pharmaceuticals, Biotechnology & Life Sciences",ok,asx,2024-11-01,Updated Share Trading Policy,2924-02876234-2A1559665,/Users/gazmart/code/asx-trading-policies/data/pdf/NEU.pdf,13326
CLW,CHARTER HALL LONG WALE REIT,2521023424,Equity Real Estate Investment Trusts (REITs),no_policy_found,,,,,,0
EVT,EVT LIMITED,2427493994,Media & Entertainment,ok,asx,2021-06-30,Share Trading Policy,2924-02390384-2A1307004,/Users/gazmart/code/asx-trading-policies/data/pdf/EVT.pdf,17069
BGL,BELLEVUE GOLD LIMITED,2423691374,Materials,ok,asx,2025-06-19,Trading Policy,2924-02958489-6A1269278,/Users/gazmart/code/asx-trading-policies/data/pdf/BGL.pdf,25814
FLT,FLIGHT CENTRE TRAVEL GROUP LIMITED,2404191502,Consumer Services,ok,asx,2015-08-27,FLT SHARE TRADING POLICY,2995-01655513-2A875449,/Users/gazmart/code/asx-trading-policies/data/pdf/FLT.pdf,12823
SRG,SRG GLOBAL LIMITED,2394128099,Capital Goods,no_policy_found,,,,,,0
HDN,HOMECO DAILY NEEDS REIT,2301447178,Equity Real Estate Investment Trusts (REITs),ok,asx,2022-09-15,Securities Trading Policy,2924-02568677-2A1398735,/Users/gazmart/code/asx-trading-policies/data/pdf/HDN.pdf,37454
CQR,CHARTER HALL RETAIL REIT,2260983179,Equity Real Estate Investment Trusts (REITs),ok,asx,2010-12-21,Security Trading Policy,2995-01135308-2A618400,/Users/gazmart/code/asx-trading-policies/data/pdf/CQR.pdf,18395
PYC,PYC THERAPEUTICS LIMITED,2252238924,"Pharmaceuticals, Biotechnology & Life Sciences",ok,asx,2022-06-28,Share Trading Policy,2924-02536094-6A1097418,/Users/gazmart/code/asx-trading-policies/data/pdf/PYC.pdf,18282
PPT,PERPETUAL LIMITED,2220114531,Financial Services,ok,asx,2024-08-27,Personal Trading in Perpetual Securities Policy,2924-02844020-2A1543723,/Users/gazmart/code/asx-trading-policies/data/pdf/PPT.pdf,19400
MXT,METRICS MASTER INCOME TRUST,2219401265,Not Applic,ok,asx,2017-10-06,Securities Trading Policy,2995-01905317-2A1041479,/Users/gazmart/code/asx-trading-policies/data/pdf/MXT.pdf,7527
VGN,VIRGIN AUSTRALIA HOLDINGS LIMITED.,2203691484,Transportation,ok,asx,2025-06-23,Securities Trading Policy,2924-02959451-2A1603330,/Users/gazmart/code/asx-trading-policies/data/pdf/VGN.pdf,19381
MAH,MACMAHON HOLDINGS LIMITED,2198085534,Materials,ok,asx,2019-05-14,Revised Trading in Shares Policy,2995-02105575-6A930689,/Users/gazmart/code/asx-trading-policies/data/pdf/MAH.pdf,7644
EOS,ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED,2194851404,Capital Goods,ok,asx,2025-09-10,Updated Securities Trading Policy,2924-02991742-2A1620830,/Users/gazmart/code/asx-trading-policies/data/pdf/EOS.pdf,33453
EQR,EQ RESOURCES LIMITED,2194760506,Materials,ok,asx,2024-08-06,Revised Securities Trading Policy,2924-02836255-2A1539684,/Users/gazmart/code/asx-trading-policies/data/pdf/EQR.pdf,30056
DRR,DETERRA ROYALTIES LIMITED,2192155151,Materials,no_policy_found,,,,,,0
PRN,PERENTI LIMITED,2150040865,Materials,ok,asx,2025-01-09,Updated Securities Trading Policy,2924-02901960-6A1246496,/Users/gazmart/code/asx-trading-policies/data/pdf/PRN.pdf,31710
LLC,LENDLEASE GROUP,2086491379,Real Estate Management & Development,ok,asx,2010-12-21,Securities Trading Policy,2995-01135666-2A618527,/Users/gazmart/code/asx-trading-policies/data/pdf/LLC.pdf,14316
TAH,TABCORP HOLDINGS LIMITED,2063379807,Consumer Services,ok,asx,2020-05-12,Revised Securities Trading Policy,2924-02234640-3A541089,/Users/gazmart/code/asx-trading-policies/data/pdf/TAH.pdf,19102
WLE,WAM LEADERS LIMITED,2061428825,Not Applic,ok,asx,2016-05-27,Trading Policy,2995-01744415-2A953356,/Users/gazmart/code/asx-trading-policies/data/pdf/WLE.pdf,14409
4DX,4DMEDICAL LIMITED,2051771886,Health Care Equipment & Services,ok,asx,2020-08-07,Securities Trading Policy,2924-02264300-3A546530,/Users/gazmart/code/asx-trading-policies/data/pdf/4DX.pdf,15277
BPT,BEACH ENERGY LIMITED,2041793622,Energy,ok,asx,2018-03-29,Share Trading Policy,2995-01966855-2A1073974,/Users/gazmart/code/asx-trading-policies/data/pdf/BPT.pdf,13017
FRW,FREIGHTWAYS GROUP LIMITED,2007156502,Transportation,no_policy_found,,,,,,0
CIA,CHAMPION IRON LIMITED,1982566104,Materials,ok,asx,2023-02-06,Updated Trading Policy,2924-02628706-2A1429332,/Users/gazmart/code/asx-trading-policies/data/pdf/CIA.pdf,15302
TBN,TAMBORAN RESOURCES CORPORATION,1957760336,Energy,ok,asx,2023-12-07,Trading Policy,2924-02751625-2A1493308,/Users/gazmart/code/asx-trading-policies/data/pdf/TBN.pdf,15103
DMP,DOMINO'S PIZZA ENTERPRISES LIMITED,1949890502,Consumer Services,ok,asx,2026-02-03,Updated Securities Trading Policy,2924-03052837-2A1651431,/Users/gazmart/code/asx-trading-policies/data/pdf/DMP.pdf,23019
MI6,MINERALS 260 LIMITED,1942495524,Materials,ok,asx,2025-04-08,Securities Trading Policy,2924-02934121-6A1259280,/Users/gazmart/code/asx-trading-policies/data/pdf/MI6.pdf,22528
ZIM,ZIMPLATS HOLDINGS LIMITED,1926713917,Materials,ok,asx,2011-06-02,Securities Trading Policy Closed Periods,2995-01186283-2A636639,/Users/gazmart/code/asx-trading-policies/data/pdf/ZIM.pdf,934
MGH,MAAS GROUP HOLDINGS LIMITED,1904226343,Capital Goods,ok,asx,2020-12-03,Securities Trading Policy,2924-02318010-2A1268029,/Users/gazmart/code/asx-trading-policies/data/pdf/MGH.pdf,17014
REG,REGIS HEALTHCARE LIMITED,1871617716,Health Care Equipment & Services,ok,asx,2014-10-06,Securities Trading Policy,2995-01559811-3A412757,/Users/gazmart/code/asx-trading-policies/data/pdf/REG.pdf,23209
BGA,BEGA CHEESE LIMITED,1867050492,"Food, Beverage & Tobacco",ok,asx,2017-02-23,Revised Security Trading Policy,2995-01831731-3A465750,/Users/gazmart/code/asx-trading-policies/data/pdf/BGA.pdf,21573
PMV,PREMIER INVESTMENTS LIMITED,1855792715,Consumer Discretionary Distribution & Retail,ok,asx,2013-10-17,Updated Share Trading Policy,2995-01454531-3A396367,/Users/gazmart/code/asx-trading-policies/data/pdf/PMV.pdf,20325
ASB,AUSTAL LIMITED,1844464306,Capital Goods,ok,asx,2010-12-23,Austal Limited Share Trading Policy,2995-01136860-6A522354,/Users/gazmart/code/asx-trading-policies/data/pdf/ASB.pdf,183
ORA,ORORA LIMITED,1831887485,Materials,ok,asx,2021-04-26,Updated Share Trading Policy,2924-02367399-3A565948,/Users/gazmart/code/asx-trading-policies/data/pdf/ORA.pdf,23062
CIP,CENTURIA INDUSTRIAL REIT,1816969287,Equity Real Estate Investment Trusts (REITs),ok,asx,2017-02-07,Updated Directors and Employees Securities Trading Policy,2995-01826308-2A996945,/Users/gazmart/code/asx-trading-policies/data/pdf/CIP.pdf,9688
DVP,DEVELOP GLOBAL LIMITED,1814920113,Materials,ok,asx,2011-02-22,Trading Policy,2995-01153436-6A530021,/Users/gazmart/code/asx-trading-policies/data/pdf/DVP.pdf,91
IMD,IMDEX LIMITED,1805381524,Materials,ok,asx,2010-12-20,Updated Security Trading Policy,2995-01134641-6A521374,/Users/gazmart/code/asx-trading-policies/data/pdf/IMD.pdf,19100
RDX,REDOX LIMITED,1795778484,Capital Goods,ok,asx,2023-07-02,Securities Dealing Policy,2924-02682221-2A1458428,/Users/gazmart/code/asx-trading-policies/data/pdf/RDX.pdf,14731
PGF,PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED,1790229639,Not Applic,ok,asx,2026-02-13,Revised Securities Trading Policy,2924-03056294-2A1653524,/Users/gazmart/code/asx-trading-policies/data/pdf/PGF.pdf,13616
ORE,OREZONE GOLD CORPORATION,1784624540,Materials,ok,asx,2025-08-06,Trading Policy,2924-02975802-6A1277189,/Users/gazmart/code/asx-trading-policies/data/pdf/ORE.pdf,31933
CYL,CATALYST METALS LIMITED,1782402555,Materials,ok,asx,2024-10-11,Revised Securities Trading Policy,2924-02865358-6A1230628,/Users/gazmart/code/asx-trading-policies/data/pdf/CYL.pdf,10202
SNZ,SUMMERSET GROUP HOLDINGS LIMITED,1737482993,Health Care Equipment & Services,ok,asx,2014-11-27,Updates to Securities Trading Policy and Guidelines,2995-01579528-2A831898,/Users/gazmart/code/asx-trading-policies/data/pdf/SNZ.pdf,2533
GLF,GEMLIFE COMMUNITIES GROUP,1722706733,Real Estate Management & Development,ok,asx,2025-07-08,EQT Listed Investment Trusts Trading Policy,2924-02965431-2A1607488,/Users/gazmart/code/asx-trading-policies/data/pdf/GLF.pdf,13665
DTL,DATA#3 LIMITED,1716711700,Software & Services,ok,asx,2010-12-30,Share Trading Policy,2995-01138470-4A227953,/Users/gazmart/code/asx-trading-policies/data/pdf/DTL.pdf,12822
RYM,RYMAN HEALTHCARE LIMITED,1716609685,Health Care Equipment & Services,no_policy_found,,,,,,0
GNP,GENUSPLUS GROUP LTD,1701768412,Capital Goods,ok,asx,2020-12-11,Securities Trading Policy,2924-02321211-6A1012074,/Users/gazmart/code/asx-trading-policies/data/pdf/GNP.pdf,17945
MLX,METALS X LIMITED,1675280007,Materials,ok,asx,2023-01-31,Securities Trading Policy,2924-02626451-6A1134259,/Users/gazmart/code/asx-trading-policies/data/pdf/MLX.pdf,11449
ELV,ELEVRA LITHIUM LIMITED,1668537849,Materials,no_policy_found,,,,,,0
DRO,DRONESHIELD LIMITED,1633012813,Capital Goods,ok,asx,2026-02-24,Revised Trading Policy,2924-03060884-2A1655808,/Users/gazmart/code/asx-trading-policies/data/pdf/DRO.pdf,19336
ARB,ARB CORPORATION LIMITED.,1610456482,Automobiles & Components,no_policy_found,,,,,,0
DYL,DEEP YELLOW LIMITED,1592820746,Energy,ok,asx,2010-12-17,Deep Yellow Limited - Security Trading Policy,2995-01133917-6A521070,/Users/gazmart/code/asx-trading-policies/data/pdf/DYL.pdf,13912
BCI,BCI MINERALS LIMITED,1586293097,Materials,ok,asx,2025-11-24,Revised Share Trading Policy,2924-03027189-6A1298673,/Users/gazmart/code/asx-trading-policies/data/pdf/BCI.pdf,17629
GOZ,GROWTHPOINT PROPERTIES AUSTRALIA,1562040104,Equity Real Estate Investment Trusts (REITs),ok,asx,2022-06-27,Updated Securities Trading Policy,2924-02535523-3A596121,/Users/gazmart/code/asx-trading-policies/data/pdf/GOZ.pdf,30110
SNL,SUPPLY NETWORK LIMITED,1558185854,Consumer Discretionary Distribution & Retail,ok,asx,2010-12-23,Share Trading Policy,2995-01136730-2A618960,/Users/gazmart/code/asx-trading-policies/data/pdf/SNL.pdf,10762
NEC,NINE ENTERTAINMENT CO. HOLDINGS LIMITED,1546118070,Media & Entertainment,ok,asx,2015-03-30,Securities Trading Policy,2995-01612362-2A850525,/Users/gazmart/code/asx-trading-policies/data/pdf/NEC.pdf,15275
WPR,WAYPOINT REIT,1541253571,Equity Real Estate Investment Trusts (REITs),ok,asx,2024-10-17,Updated Securities Trading Policy,2924-02868138-3A653367,/Users/gazmart/code/asx-trading-policies/data/pdf/WPR.pdf,32348
SIQ,SMARTGROUP CORPORATION LTD,1534864743,Commercial & Professional Services,ok,asx,2018-06-22,Amended Trading Policy,2995-01993060-2A1087746,/Users/gazmart/code/asx-trading-policies/data/pdf/SIQ.pdf,23686
DGT,DIGICO INFRASTRUCTURE REIT,1501869655,Class Pend,ok,asx,2024-12-19,EQT Listed Investment Trusts Trading Policy,2924-02897196-2A1569708,/Users/gazmart/code/asx-trading-policies/data/pdf/DGT.pdf,14774
SSM,SERVICE STREAM LIMITED,1496541092,Capital Goods,ok,asx,2018-02-14,Revised Securities Trading Policy,2995-01950641-3A487737,/Users/gazmart/code/asx-trading-policies/data/pdf/SSM.pdf,12718
SKG,STORAGE KING GROUP,1491506862,Equity Real Estate Investment Trusts (REITs),ok,asx,2023-09-22,Revised Trading Policy,2924-02715142-2A1475506,/Users/gazmart/code/asx-trading-policies/data/pdf/SKG.pdf,1355
BKI,BKI INVESTMENT COMPANY LIMITED,1489162653,Not Applic,ok,asx,2021-07-21,BKI Share Trading Policy,2924-02397721-2A1311082,/Users/gazmart/code/asx-trading-policies/data/pdf/BKI.pdf,7681
NGI,NAVIGATOR GLOBAL INVESTMENTS LIMITED,1476679659,Financial Services,ok,asx,2025-10-15,Revised Securities Trading Policy,2924-03008426-2A1629400,/Users/gazmart/code/asx-trading-policies/data/pdf/NGI.pdf,26888
KCN,KINGSGATE CONSOLIDATED LIMITED.,1465925367,Materials,ok,asx,2010-12-30,Trading Policy,2995-01138784-6A523205,/Users/gazmart/code/asx-trading-policies/data/pdf/KCN.pdf,68
SLX,SILEX SYSTEMS LIMITED,1461801028,Capital Goods,ok,asx,2025-05-12,Revised Securities Trading Policy,2924-02945845-2A1596110,/Users/gazmart/code/asx-trading-policies/data/pdf/SLX.pdf,43129
SLC,SUPERLOOP LIMITED,1461787456,Telecommunication Services,ok,asx,2015-06-03,Securities Trading Policy,2995-01630532-2A860913,/Users/gazmart/code/asx-trading-policies/data/pdf/SLC.pdf,13211
INA,INGENIA COMMUNITIES GROUP,1455072252,Equity Real Estate Investment Trusts (REITs),ok,asx,2021-04-08,Ingenia Personal Trading Policy,2924-02361626-2A1291657,/Users/gazmart/code/asx-trading-policies/data/pdf/INA.pdf,24591
FFM,FIREFLY METALS LTD,1449161606,Materials,ok,asx,2024-05-31,Securities Trading Policy - Corrected,2924-02813097-6A1210050,/Users/gazmart/code/asx-trading-policies/data/pdf/FFM.pdf,25783
BNZ,BENZ MINING CORP.,1449026581,Materials,ok,asx,2020-12-21,Securities Trading Policy,2924-02325208-6A1013667,/Users/gazmart/code/asx-trading-policies/data/pdf/BNZ.pdf,27363
MAQ,MACQUARIE TECHNOLOGY GROUP LIMITED,1444875416,Software & Services,ok,asx,2010-12-21,Share Trading Policy,2995-01135368-2A618428,/Users/gazmart/code/asx-trading-policies/data/pdf/MAQ.pdf,4451
LIN,LINDIAN RESOURCES LIMITED,1414788250,Materials,ok,asx,2010-12-29,Securities Trading Policy,2995-01138199-6A522933,/Users/gazmart/code/asx-trading-policies/data/pdf/LIN.pdf,16515
WAM,WAM CAPITAL LIMITED,1411368932,Not Applic,ok,asx,2017-07-30,Updated Security Trading Policy,2995-01878380-2A1026421,/Users/gazmart/code/asx-trading-policies/data/pdf/WAM.pdf,11960
BVS,BRAVURA SOLUTIONS LIMITED.,1407661922,Software & Services,ok,asx,2016-11-15,Securities Trading Policy,2995-01802499-2A984676,/Users/gazmart/code/asx-trading-policies/data/pdf/BVS.pdf,25515
WEB,WEBBEDS GROUP LIMITED,1404510072,Consumer Services,ok,asx,2010-12-21,Share trading and conflicts policy,2995-01135117-3A347848,/Users/gazmart/code/asx-trading-policies/data/pdf/WEB.pdf,18125
MMS,MCMILLAN SHAKESPEARE LIMITED,1403306934,Commercial & Professional Services,ok,asx,2017-06-21,Updated Securities Trading Policy,2995-01867193-3A472221,/Users/gazmart/code/asx-trading-policies/data/pdf/MMS.pdf,14767
GNC,GRAINCORP LIMITED,1391746024,Consumer Staples Distribution & Retail,ok,asx,2024-06-27,Updated Share Trading Policy,2924-02821787-2A1531673,/Users/gazmart/code/asx-trading-policies/data/pdf/GNC.pdf,23220
HLI,HELIA GROUP LIMITED,1387432413,Financial Services,ok,asx,2025-11-02,Governance review and revised Securities Trading Policy,2924-03018047-2A1633350,/Users/gazmart/code/asx-trading-policies/data/pdf/HLI.pdf,29205
CBO,COBRAM ESTATE OLIVES LIMITED,1378918630,"Food, Beverage & Tobacco",ok,asx,2021-08-09,Securities Trading Policy,2924-02405145-3A572394,/Users/gazmart/code/asx-trading-policies/data/pdf/CBO.pdf,17127
ABB,AUSSIE BROADBAND LIMITED,1350019175,Telecommunication Services,ok,asx,2025-08-29,Updated Securities Trading Policy,2924-02986903-3A675191,/Users/gazmart/code/asx-trading-policies/data/pdf/ABB.pdf,24266
HMC,HMC CAPITAL LIMITED,1320370339,Financial Services,ok,asx,2022-09-15,Securities Trading Policy,2924-02568675-2A1398734,/Users/gazmart/code/asx-trading-policies/data/pdf/HMC.pdf,37430
GCI,GRYPHON CAPITAL INCOME TRUST,1310058191,Not Applic,ok,asx,2022-04-06,Securities Dealing Policy,2924-02507591-2A1367402,/Users/gazmart/code/asx-trading-policies/data/pdf/GCI.pdf,34796
VUL,VULCAN ENERGY RESOURCES LIMITED,1301957205,Materials,ok,asx,2022-04-22,Amended Trading Policy,2924-02512929-6A1087832,/Users/gazmart/code/asx-trading-policies/data/pdf/VUL.pdf,20072
SXE,SOUTHERN CROSS ELECTRICAL ENGINEERING LTD,1292571147,Capital Goods,ok,asx,2020-06-30,Securities Trading Policy,2924-02249931-6A984515,/Users/gazmart/code/asx-trading-policies/data/pdf/SXE.pdf,15012
FDC,FDC CONSOLIDATED HOLDINGS LIMITED,1285412775,Capital Goods,ok,asx,2026-07-08,Securities Trading Policy,2924-03109170-2A1683516,/Users/gazmart/code/asx-trading-policies/data/pdf/FDC.pdf,15690
ELD,ELDERS LIMITED,1283776967,"Food, Beverage & Tobacco",ok,asx,2019-03-08,Revised Securities Dealing Policy,2995-02084720-2A1138002,/Users/gazmart/code/asx-trading-policies/data/pdf/ELD.pdf,28414
NUF,NUFARM LIMITED,1268049981,Materials,ok,asx,2021-04-06,Security Trading Policy,2924-02361076-3A564864,/Users/gazmart/code/asx-trading-policies/data/pdf/NUF.pdf,18717
MAD,MADER GROUP LIMITED,1259428096,Commercial & Professional Services,ok,asx,2019-09-30,MADER GROUP LTD: Mader Contracting-Securities Trading Policy,2924-02153080-6A947482,/Users/gazmart/code/asx-trading-policies/data/pdf/MAD.pdf,17916
PXA,PEXA GROUP LIMITED,1257943844,Real Estate Management & Development,ok,asx,2021-06-30,Securities Trading Policy,2924-02390487-3A569851,/Users/gazmart/code/asx-trading-policies/data/pdf/PXA.pdf,26860
KAR,KAROON ENERGY LTD,1253219693,Energy,ok,asx,2011-02-02,Revised Securities Trading Policy,2995-01147572-3A349638,/Users/gazmart/code/asx-trading-policies/data/pdf/KAR.pdf,18425
NCK,NICK SCALI LIMITED,1248748205,Consumer Discretionary Distribution & Retail,ok,asx,2026-05-29,Updated Securities Trading Policy,2924-03095425-2A1674667,/Users/gazmart/code/asx-trading-policies/data/pdf/NCK.pdf,9450
GNG,GR ENGINEERING SERVICES LIMITED,1247132225,Materials,ok,asx,2015-05-28,Securities Trading Policy,2995-01629137-6A721023,/Users/gazmart/code/asx-trading-policies/data/pdf/GNG.pdf,21840
ARU,ARAFURA RARE EARTHS LTD,1244861073,Materials,ok,asx,2015-05-25,Securities Trading Policy,2995-01627999-6A720594,/Users/gazmart/code/asx-trading-policies/data/pdf/ARU.pdf,21294
CXO,CORE LITHIUM LTD,1229984632,Materials,ok,asx,2021-08-06,Securities Trading Policy,2924-02404601-2A1314367,/Users/gazmart/code/asx-trading-policies/data/pdf/CXO.pdf,15661
GDG,GENERATION DEVELOPMENT GROUP LIMITED,1223747590,Insurance,ok,asx,2025-11-04,Share Trading Policy Update,2924-03019006-3A680580,/Users/gazmart/code/asx-trading-policies/data/pdf/GDG.pdf,14480
JDO,JUDO CAPITAL HOLDINGS LIMITED,1217753683,Banks,ok,asx,2021-10-29,Securities Trading Policy,2924-02444480-2A1334897,/Users/gazmart/code/asx-trading-policies/data/pdf/JDO.pdf,19185
CNI,CENTURIA CAPITAL GROUP,1211686612,Equity Real Estate Investment Trusts (REITs),no_policy_found,,,,,,0
GLS,L1 GLOBAL LONG SHORT FUND LIMITED,1171988982,Not Applic,ok,asx,2026-08-25,Updated Share Trading Policy,2924-03125825-2A1691952,/Users/gazmart/code/asx-trading-policies/data/pdf/GLS.pdf,11262
AVR,ANTERIS TECHNOLOGIES GLOBAL CORP.,1160947318,Health Care Equipment & Services,ok,asx,2024-12-16,Trading Policy,2924-02895176-6A1243828,/Users/gazmart/code/asx-trading-policies/data/pdf/AVR.pdf,43576
MC2,MARIMACA COPPER CORP.,1152888587,Materials,ok,asx,2025-03-31,Securities Trading Policy,2924-02930688-6A1258049,/Users/gazmart/code/asx-trading-policies/data/pdf/MC2.pdf,12432
